Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;Total Nacional;De 35 a 44 años;2011T4;6.987,80
Ambos sexos;Total Nacional;De 35 a 44 años;2011T3;6.925,40
Ambos sexos;Total Nacional;De 35 a 44 años;2011T2;6.920,60
Ambos sexos;Total Nacional;De 35 a 44 años;2011T1;6.896,20
Ambos sexos;Total Nacional;De 35 a 44 años;2010T4;6.852,40
Ambos sexos;Total Nacional;De 35 a 44 años;2010T3;6.771,10
Ambos sexos;Total Nacional;De 35 a 44 años;2010T2;6.807,90
Ambos sexos;Total Nacional;De 35 a 44 años;2010T1;6.738,90
Ambos sexos;Total Nacional;De 35 a 44 años;2009T4;6.707,00
Ambos sexos;Total Nacional;De 35 a 44 años;2009T3;6.629,40
